history_data,total,silly_walks,smiles
CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|ChB-2316_AddA-5_ChB-1613|RmA-10_AddA-37_RmA-0|RmA-8_AddA-33_RmA-11|ChB-1413_ChB-7_AddA-5|AddA-33_ChB-716_RmA-0|RmA-7_RmA-8_AddA-29|AddA-5_ChB-974_RmA-12|RmA-12_AddA-49_AddA-5|ChB-1418_RmA-0_RmA-7|ChB-707_RmA-0_AddA-29|ChB-712_RmA-9_ChB-1414,0.0,0.0,Nc1cccc(CN=C=O)c1
CC(=O)Oc1ccccc1C(=O)O|AddA-33_AddA-5_RmA-2|RmA-8_ChB-2316_ChB-1613|ChB-2316_ChB-1613_AddA-37|ChB-708_AddA-26_ChB-108|ChB-716_RmA-7_ChB-12|ChB-708_RmA-1_RmA-1|AddA-5_ChB-1417_RmA-10|AddA-34_RmA-0_AddA-42,0.0,0.0,CNc1ccc(OO)cc1C(O)O
CC(=O)Oc1ccccc1C(=O)O|ChB-710_RmA-2_RmA-1|ChB-704_AddA-22_ChB-0|AddA-13_ChB-708_RmA-0,0.0,0.0,Nc1ccc(C(=O)O)c(O)c1O
CC(=O)Oc1ccccc1C(=O)O|ChB-708_RmA-2_RmA-10|RmA-9_AddA-41_RmA-0|ChB-779_ChB-708_RmA-9|RmA-6_AddA-9_RmA-7|ChB-910_ChB-705_ChB-207,0.0,0.0,Nc1cc2cc(c1)N2
CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|RmA-9_AddA-33_AddA-29|ChB-709_AddA-61_ChB-108|ChB-714_ChB-717_RmA-0|AddA-30_ChB-713_ChB-10|ChB-714_ChB-0_RmA-0|AddA-61_RmA-0_ChB-1419|AddA-61_ChB-269_RmA-10|ChB-715_AddA-29_RmA-0,0.0,0.0,Nc1cc(C(=O)OO)ccc1NCCO
CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|RmA-0_ChB-2461_ChB-1758|AddA-46_AddA-53_AddA-13|AddA-33_RmA-0_RmA-0|ChB-715_ChB-711_ChB-8|RmA-14_ChB-714_ChB-0|ChB-2316_RmA-0_ChB-1581|ChB-2284_ChB-1581_AddA-29,0.0,0.0,Nc1ccc(NC=O)cc1C(=O)OO
CC(=O)Oc1ccccc1C(=O)O|AddA-5_ChB-707_ChB-108|ChB-709_AddA-21_RmA-0|ChB-708_AddA-34_ChB-5|ChB-710_ChB-7_RmA-0|AddA-25_ChB-703_RmA-0,0.0,0.0,Nc1c(O)cc(C(=O)O)cc1CCO
CC(=O)Oc1ccccc1C(=O)O|AddA-33_AddA-5_RmA-2|RmA-0_RmA-7_ChB-706|ChB-2284_ChB-1581_AddA-29|RmA-10_ChB-709_ChB-6|RmA-5_AddA-21_RmA-9|ChB-705_ChB-712_RmA-0|ChB-705_AddA-29_RmA-0|RmA-0_AddA-25_AddA-22,0.0,0.0,Nc1cc(O)c(CO)cc1O
CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|ChB-2316_AddA-5_ChB-1613|RmA-10_AddA-37_RmA-0|RmA-8_AddA-33_RmA-11|ChB-1413_ChB-7_AddA-5|AddA-33_ChB-716_RmA-0|RmA-7_RmA-8_AddA-29|RmA-7_AddA-5_RmA-2|RmA-0_ChB-2284_ChB-1581|ChB-2284_ChB-1581_AddA-29|ChB-710_ChB-1415_RmA-0|ChB-705_RmA-0_AddA-41,0.0,0.0,NOCc1cc(N)ccc1O
CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|RmA-0_ChB-2461_ChB-1758|AddA-46_AddA-53_AddA-13|AddA-33_RmA-0_RmA-0|ChB-715_ChB-711_ChB-8|RmA-14_ChB-714_ChB-0|ChB-714_ChB-11_AddA-33|ChB-705_RmA-0_ChB-1407,0.0,0.0,Nc1ccc(N=C=O)cc1C(=O)OO
CC(=O)Oc1ccccc1C(=O)O|AddA-29_ChB-945_ChB-715|RmA-2_ChB-210_AddA-10,0.0,0.0,Nc1cc(OC(=O)O)ccc1OC=O
CC(=O)Oc1ccccc1C(=O)O|AddA-5_ChB-707_ChB-108|ChB-709_AddA-21_RmA-0|ChB-708_AddA-34_ChB-5|ChB-1409_AddA-42_ChB-3|ChB-716_AddA-21_RmA-0,0.0,0.0,NC(C(=O)O)c1cc(O)c(O)c(C(=O)O)c1
CC(=O)Oc1ccccc1C(=O)O|ChB-710_RmA-2_RmA-1|ChB-705_ChB-0_AddA-11|ChB-713_ChB-10_AddA-5,0.0,0.0,NCc1cc(O)c(C(=O)O)c(F)c1
CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|RmA-9_AddA-33_AddA-29|ChB-709_AddA-61_ChB-108|ChB-714_RmA-0_RmA-10|ChB-1417_ChB-11_ChB-1416|AddA-25_ChB-352_RmA-10|ChB-707_RmA-0_AddA-25|ChB-779_RmA-0_RmA-5|RmA-11_ChB-711_ChB-8|AddA-21_ChB-712_RmA-8|RmA-0_RmA-9_ChB-0,0.0,0.0,CC=C(C)C=C(C)C=O
CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|ChB-2316_AddA-5_ChB-1613|RmA-10_AddA-37_RmA-0|RmA-8_AddA-33_RmA-11|ChB-1413_ChB-7_AddA-5|AddA-33_ChB-716_RmA-0|RmA-7_RmA-8_AddA-29|AddA-5_ChB-974_RmA-12|RmA-12_AddA-49_AddA-5|ChB-1418_RmA-0_RmA-7|ChB-707_RmA-0_AddA-29|AddA-29_RmA-5_RmA-10,0.0,0.0,COc1cc(N)ccc1CN
