step,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33
36,0,1,0,0,1465,86,1,67,1,0,1,1,1,0,2,1,1,1,1,1,0,0,784,138,1,0,1,590,1,1,1,1,1,1
37,0,1,0,0,1498,86,1,67,1,0,1,1,1,0,2,1,1,1,1,1,0,0,808,140,1,0,1,602,1,1,1,1,1,1
38,0,1,0,0,1636,86,1,72,1,0,1,1,1,0,2,1,1,1,1,1,0,0,882,157,1,0,1,645,1,1,1,1,1,1
39,0,1,0,0,1764,88,1,74,1,0,1,1,1,0,2,1,1,1,1,1,0,0,959,171,1,0,1,683,1,1,1,1,1,1
40,0,1,0,0,1815,88,1,74,1,0,1,1,1,0,2,1,1,1,1,1,0,0,988,171,1,0,1,716,1,1,1,1,1,1
41,0,1,0,0,1872,98,1,74,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1015,175,1,0,1,721,1,1,1,1,1,1
42,0,1,0,0,1890,100,1,75,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1028,178,1,0,1,729,1,1,1,1,1,1
43,0,1,0,0,1927,100,1,86,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1059,190,1,0,1,743,1,1,1,1,1,1
44,0,1,0,0,1983,101,1,90,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1090,191,1,0,1,750,1,1,1,1,1,1
45,0,1,0,0,2018,101,1,93,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1119,201,1,0,1,770,1,1,1,1,1,1
46,0,1,0,0,2065,102,1,94,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1137,204,1,0,1,805,1,1,1,1,1,1
47,0,1,0,0,2084,102,1,94,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1161,211,1,0,1,844,1,1,1,1,1,1
48,0,1,0,0,2116,102,1,94,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1179,213,1,0,1,859,1,1,1,1,1,1
49,0,1,0,0,2261,102,1,96,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1282,228,1,0,1,906,1,1,1,1,1,1
50,0,1,0,0,2293,102,1,99,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1308,235,1,0,1,931,1,1,1,1,1,1
51,0,1,0,0,2350,107,1,104,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1329,240,1,0,1,942,1,1,1,1,1,1
52,0,1,0,0,2389,110,1,108,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1345,248,1,0,1,955,1,1,1,1,1,1
53,0,1,0,0,2404,113,1,110,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1353,251,1,0,1,970,1,1,1,1,1,1
54,0,1,0,0,2461,123,1,111,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1382,267,1,0,1,1004,1,1,1,1,1,1
55,0,1,0,0,2534,130,1,112,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1410,269,1,0,1,1032,1,1,1,1,1,1
56,0,1,0,0,2580,130,1,116,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1418,274,1,0,1,1038,1,1,1,1,1,1
57,0,1,0,0,2646,132,1,119,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1446,288,1,0,1,1063,1,1,1,1,1,1
58,0,1,0,0,2700,132,1,121,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1477,293,1,0,1,1074,1,1,1,1,1,1
59,0,1,0,0,2724,133,1,121,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1495,295,1,0,1,1093,1,1,1,1,1,1
60,0,1,0,0,2793,136,1,121,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1517,296,1,0,1,1118,1,1,1,1,1,1
61,0,1,0,0,2839,136,1,121,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1535,299,1,0,1,1133,1,1,1,1,1,1
62,0,1,0,0,2910,136,1,122,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1598,303,1,0,1,1185,1,1,1,1,1,1
63,0,1,0,0,2984,138,1,122,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1691,312,1,0,1,1248,1,1,1,1,1,1
64,0,1,0,0,3044,145,1,123,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1715,318,1,0,1,1256,1,1,1,1,1,1
65,0,1,0,0,3086,145,1,123,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1739,321,1,0,1,1290,1,1,1,1,1,1
66,0,1,0,0,3126,145,1,124,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1766,323,1,0,1,1343,1,1,1,1,1,1
67,0,1,0,0,3202,146,1,125,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1787,334,1,0,1,1365,1,1,1,1,1,1
68,0,1,0,0,3275,146,1,126,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1826,345,1,0,1,1394,1,1,1,1,1,1
69,0,1,0,0,3309,146,1,126,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1844,350,1,0,1,1411,1,1,1,1,1,1
70,0,1,0,0,3328,146,1,129,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1858,358,1,0,1,1423,1,1,1,1,1,1
71,0,1,0,0,3354,146,1,129,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1869,360,1,0,1,1444,1,1,1,1,1,1
72,0,1,0,0,3449,150,1,129,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1898,363,1,0,1,1488,1,1,1,1,1,1
73,0,1,0,0,3547,154,1,131,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1943,373,1,0,1,1544,1,1,1,1,2,1
74,0,1,0,0,3602,157,1,133,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1947,387,1,0,1,1564,1,1,1,1,3,1
75,0,1,0,0,3629,160,1,136,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1969,393,1,0,1,1593,1,1,1,1,3,1
76,0,1,0,0,3677,162,1,146,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1998,403,1,0,1,1619,1,1,1,1,3,1
77,0,1,0,0,3693,162,1,147,1,0,1,1,1,0,2,1,1,1,1,1,0,0,2009,406,1,0,1,1651,1,1,1,1,3,1
78,0,1,0,0,3732,165,1,147,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2030,408,1,0,1,1677,1,1,1,1,3,1
79,0,1,0,0,3805,167,1,149,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2101,437,1,0,1,1744,1,1,1,1,3,1
80,0,1,0,0,3834,171,1,152,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2116,443,1,0,1,1770,1,1,1,1,3,1
81,0,1,0,0,3873,176,1,153,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2136,447,1,0,1,1791,1,1,1,1,3,1
82,0,1,0,0,3942,178,1,153,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2165,464,1,0,1,1821,1,1,1,1,3,1
83,0,1,0,0,3977,180,1,153,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2199,467,1,0,1,1880,1,1,1,1,3,1
84,0,1,0,0,4017,183,1,155,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2219,473,1,0,1,1935,1,1,1,1,3,1
85,0,1,0,0,4068,184,1,155,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2228,479,1,0,1,1942,1,1,1,1,3,1
86,0,1,0,0,4130,184,1,155,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2249,484,1,0,1,1963,1,1,1,1,3,1
87,0,1,0,0,4166,184,1,155,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2265,488,1,0,1,1984,1,1,1,1,3,1
88,0,1,0,0,4258,185,1,158,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2304,492,1,0,1,2021,1,1,1,1,3,1
89,0,1,0,0,4336,185,1,158,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2325,493,1,0,1,2041,1,1,1,1,3,1
90,0,1,0,0,4412,186,1,160,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2371,502,1,0,1,2094,1,1,1,1,3,1
91,0,1,0,0,4494,187,1,160,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2398,506,1,0,1,2113,1,1,1,1,3,1
92,0,1,0,0,4596,189,1,162,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2421,520,1,0,1,2134,1,1,1,1,3,1
93,0,1,0,0,4687,191,1,162,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2452,541,1,0,1,2149,1,1,1,1,3,1
94,0,1,0,0,4729,192,1,162,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2477,549,1,0,1,2190,1,1,1,1,3,1
95,0,1,0,0,4804,201,1,163,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2514,558,1,0,1,2207,1,1,1,1,3,1
96,0,1,0,0,4887,207,1,165,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2546,577,1,0,1,2259,1,1,1,1,3,1
97,0,1,0,0,4938,207,1,166,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2566,582,1,0,1,2290,1,1,1,1,3,1
98,0,1,0,0,4972,213,1,168,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2599,584,1,0,1,2316,1,1,1,1,3,1
99,0,1,0,0,5036,213,1,169,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2614,595,1,0,1,2334,1,1,1,1,3,1
100,0,1,0,0,5142,218,1,176,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2650,615,1,0,1,2376,1,1,1,1,3,1
101,0,1,0,0,5221,218,1,176,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2692,626,1,0,1,2404,1,1,1,1,3,1
102,0,1,0,0,5247,218,1,177,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2702,628,1,0,1,2417,1,1,1,1,3,1
103,0,1,0,0,5276,218,1,177,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2711,629,1,0,1,2435,1,1,1,1,3,1
104,0,1,0,0,5318,218,1,178,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2742,635,1,0,1,2453,1,1,1,1,3,1
105,0,1,0,0,5340,218,1,181,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2753,641,1,0,1,2474,1,1,1,1,3,1
106,0,1,0,0,5399,219,1,184,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2794,646,1,0,1,2493,1,1,1,1,3,1
107,0,1,0,0,5446,219,1,187,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2810,652,1,0,1,2508,1,1,1,1,3,1
108,0,1,0,0,5489,220,1,188,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2832,659,1,0,1,2520,1,1,1,1,3,1
109,0,1,0,0,5536,221,1,190,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2846,661,1,0,1,2544,1,1,1,1,3,1
110,0,1,0,0,5585,221,1,191,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2870,667,1,0,1,2564,1,1,1,1,3,1
111,0,1,0,0,5632,221,1,197,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2886,671,1,0,1,2576,1,1,1,1,3,1
112,0,1,0,0,5684,221,1,199,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2914,674,1,0,1,2592,1,1,1,1,3,1
113,0,1,0,0,5740,221,1,203,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2944,679,1,0,1,2615,1,1,1,1,3,1
114,0,1,0,0,5799,221,1,203,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2976,683,1,0,1,2635,1,1,1,1,3,1
115,0,1,0,0,5836,221,1,205,1,0,1,1,1,0,2,1,1,1,1,1,0,1,2988,689,1,0,1,2646,1,1,1,1,3,1
116,0,1,0,0,5889,221,1,205,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3000,694,1,0,1,2659,1,1,1,1,3,1
117,0,1,0,0,5956,221,1,205,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3023,707,1,0,1,2682,1,1,1,1,3,1
118,0,1,0,0,6033,221,1,206,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3036,715,1,0,1,2713,1,1,1,1,3,1
119,0,1,0,0,6078,221,1,209,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3053,724,1,0,1,2739,1,1,1,1,3,1
120,0,1,0,0,6141,221,1,210,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3085,731,1,0,1,2755,1,1,1,1,3,1
121,0,1,0,0,6197,222,1,213,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3094,734,1,0,1,2783,1,1,1,1,3,1
122,0,1,0,0,6224,223,1,213,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3109,739,1,0,1,2796,1,1,1,1,3,1
123,0,1,0,0,6299,223,1,214,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3142,744,1,0,1,2810,1,1,1,1,3,1
124,0,1,0,0,6345,223,1,219,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3155,750,1,0,1,2819,1,1,1,1,3,1
