history_data,total,silly_walks,smiles
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-13|RmA-14_AddA-28|AddA-33_RmA-13|AddA-13|ChB-885_ChB-213|AddA-62_AddA-64|AddA-60_RmA-16,0.0,0.0,CNCC(=O)Oc1c(C)cc(NC)cc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-34|AddA-13|AddA-30|ChB-1130_RmA-14|RmA-14_AddA-58|ChB-917_AddA-13|RmA-15_AddA-14|RmA-14_AddA-29,0.0,0.0,Nc1cc(OC(=O)CO)c(C(=O)O)cc1O
CC(=O)Oc1ccccc1C(=O)O|AddA-24|RmA-13_AddA-37|AddA-52|AddA-29|RmA-13|AddA-33|RmA-14_ChB-917|RmA-13_AddA-56|AddA-52_ChB-243,0.0,0.0,CNc1ccc(C(=O)OC)c(OC(C)=O)c1
CC(=O)Oc1ccccc1C(=O)O|AddA-26|AddA-53|AddA-14_AddA-58|AddA-64|AddA-60,0.0,0.0,CNOC(=O)c1cccc(OO)c1OC(=O)COC
CC(=O)Oc1ccccc1C(=O)O|AddA-14|AddA-38|AddA-32_AddA-66|RmA-13|RmA-13|RmA-14_AddA-53|AddA-29|AddA-14,0.0,0.0,Cc1cc(C(=O)ON)c(OC(=O)CO)cc1N
CC(=O)Oc1ccccc1C(=O)O|AddA-24|RmA-13_AddA-27|AddA-14|AddA-34_AddA-54|RmA-16|AddA-53|RmA-14_AddA-31|RmA-14,0.0,0.0,CC(=O)Oc1c(C(=O)ON)ccc(F)c1F
CC(=O)Oc1ccccc1C(=O)O|AddA-34|AddA-13|AddA-30|AddA-53|RmA-15|AddA-56_RmA-15|AddA-26_AddA-52|AddA-68|ChB-790|AddA-60_AddA-80|RmA-15,0.0,0.0,CCNC1COC(=O)c2cc(O)cc(OC)c2OC1=O
CC(=O)Oc1ccccc1C(=O)O|AddA-52_AddA-34|ChB-917|AddA-12|ChB-214,0.0,0.0,CCC(=O)Oc1ccc(O)cc1C(=O)OC
CC(=O)Oc1ccccc1C(=O)O|AddA-26|AddA-53|AddA-14_AddA-58|RmA-15|RmA-14,0.0,0.0,CC(=O)Oc1c(OO)cccc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-14|AddA-38|AddA-32_AddA-66|RmA-13|RmA-13|RmA-14_AddA-53|AddA-60|AddA-14,0.0,0.0,CNOC(=O)c1cc(C)ccc1OC(=O)CO
CC(=O)Oc1ccccc1C(=O)O|AddA-24|AddA-34_AddA-28|AddA-56|RmA-15|ChB-1106_RmA-14|RmA-14_AddA-35|ChB-786|ChB-1489_RmA-14|AddA-31_ChB-83|RmA-14_AddA-38|RmA-13_AddA-32|AddA-14,0.0,0.0,Cc1ccc(OC(=O)CO)c(C(=O)O)c1O
CC(=O)Oc1ccccc1C(=O)O|AddA-24|RmA-13_AddA-37|AddA-31|RmA-13|AddA-32_AddA-13|AddA-64_AddA-62|RmA-16|RmA-16_RmA-13|ChB-916|AddA-60_AddA-64|RmA-13|RmA-15_AddA-32|ChB-886_AddA-64,0.0,0.0,CCc1cc2c(c(C(=O)O)c1)OC(=O)CNC2
CC(=O)Oc1ccccc1C(=O)O|AddA-34|ChB-916|RmA-13_AddA-35|RmA-13_AddA-52|AddA-58|AddA-27|AddA-35|AddA-13_RmA-15|RmA-14|AddA-12|AddA-26|ChB-1492_RmA-16,0.0,0.0,COC(=O)c1cc(F)cc(O)c1OC(=O)CN
CC(=O)Oc1ccccc1C(=O)O|AddA-52_AddA-35|AddA-36|AddA-56|RmA-14_AddA-31|RmA-15,0.0,0.0,COC(=O)c1c(C)cc(F)cc1OC(C)=O
CC(=O)Oc1ccccc1C(=O)O|AddA-24_AddA-33|AddA-61_RmA-13|AddA-53_RmA-14|RmA-14_ChB-916|AddA-13,0.0,0.0,NCC(=O)Oc1cc2c(cc1C(=O)O)N2
CC(=O)Oc1ccccc1C(=O)O|AddA-14|AddA-38|AddA-52_RmA-13|RmA-14_AddA-27|AddA-28|AddA-14_AddA-66|RmA-17_RmA-15|RmA-14_ChB-1490,0.0,0.0,O=CC(=O)Oc1cccc(O)c1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-13|RmA-14_AddA-28|AddA-33_RmA-13|AddA-13|ChB-885_ChB-213|AddA-62_AddA-64|ChB-1834_RmA-17,0.0,0.0,Cc1cc(N=O)cc(C(=O)O)c1OC(=O)CN
CC(=O)Oc1ccccc1C(=O)O|AddA-34|AddA-13|AddA-30|AddA-53|RmA-15|AddA-56_RmA-15|AddA-26_AddA-52|AddA-68|ChB-790|AddA-60_AddA-80|RmA-17_AddA-38,0.0,0.0,CCNCC(=O)Oc1c(OC)cc(OC)c(O)c1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-36_AddA-32|RmA-13_AddA-57|RmA-14_AddA-28|AddA-38,0.0,0.0,CC(=O)Oc1cc(C)c(C)c(O)c1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-14|AddA-38|AddA-32_AddA-66|RmA-16_RmA-14|AddA-27_RmA-13|RmA-13_AddA-12|AddA-36|AddA-33_RmA-15|RmA-14|AddA-53|AddA-13_AddA-68,0.0,0.0,CNCC(=O)Oc1c(F)cc(N)cc1C(=O)ON
CC(=O)Oc1ccccc1C(=O)O|AddA-24|AddA-34_AddA-28|AddA-56|RmA-15|ChB-1106_RmA-14|RmA-14_AddA-35|ChB-786|ChB-1489_RmA-14|AddA-31_ChB-83|RmA-14_AddA-38|RmA-13_AddA-32|ChB-1081_ChB-272,0.0,0.0,CC(=O)Oc1ccc(C)cc1C(=O)OO
CC(=O)Oc1ccccc1C(=O)O|AddA-24|RmA-13_AddA-37|AddA-31|RmA-13|AddA-32_AddA-13|AddA-64_AddA-62|RmA-16|RmA-16_RmA-13|ChB-916|AddA-60_AddA-64|RmA-13|RmA-15_AddA-32|AddA-29_RmA-14,0.0,0.0,Cc1cc(C(=O)O)c(OC(=O)CN)cc1N
CC(=O)Oc1ccccc1C(=O)O|AddA-34|ChB-916|RmA-13_AddA-35|RmA-13_AddA-52|AddA-58|AddA-27|AddA-35|AddA-13_RmA-15|RmA-14|AddA-12|AddA-26|RmA-14,0.0,0.0,COC(=O)c1cccc(O)c1OC(=O)C(C)N
CC(=O)Oc1ccccc1C(=O)O|AddA-52_AddA-35|AddA-36|AddA-56|RmA-14_AddA-31|AddA-67_AddA-14,0.0,0.0,Cc1cc(F)cc(OC(=O)CO)c1C(=O)OCCF
CC(=O)Oc1ccccc1C(=O)O|AddA-35_AddA-36|AddA-12,0.0,0.0,CCC(=O)Oc1ccc(F)c(C)c1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-24|AddA-34_AddA-28|AddA-56|RmA-15|ChB-1106_RmA-14|RmA-14_AddA-35|ChB-786|ChB-1489_RmA-14|AddA-31_ChB-83|RmA-14_AddA-38|ChB-916|AddA-34,0.0,0.0,CC(=O)Oc1c2c(c(O)c(O)c1C(=O)O)C2
CC(=O)Oc1ccccc1C(=O)O|AddA-29_AddA-34,0.0,0.0,CC(=O)Oc1cc(N)c(O)cc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-13|RmA-14_AddA-28|AddA-33_RmA-13|AddA-13|ChB-885_ChB-213|AddA-62_AddA-64|RmA-13,0.0,0.0,CNCC(=O)Oc1ccc(NO)cc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-36_AddA-32|RmA-13_AddA-57|RmA-14_AddA-28|AddA-12_AddA-12,0.0,0.0,Cc1cc(OC(=O)C(C)C)c(C(=O)O)cc1C
CC(=O)Oc1ccccc1C(=O)O|AddA-14|AddA-38|AddA-32_AddA-66|RmA-16_RmA-14|AddA-27_RmA-13|RmA-13_AddA-12|AddA-36|AddA-33_RmA-15|RmA-14|AddA-53|AddA-29,0.0,0.0,CC(=O)Oc1c(C(=O)ON)cc(N)c(N)c1F
CC(=O)Oc1ccccc1C(=O)O|AddA-24|AddA-34_AddA-28|AddA-56|RmA-15|ChB-1106_RmA-14|RmA-14_AddA-35|ChB-786|ChB-1489_RmA-14|AddA-31_ChB-83|RmA-14_AddA-38|RmA-13_AddA-32|AddA-24,0.0,0.0,CC(=O)Oc1c(C)cc(C)c(O)c1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-24|RmA-13_AddA-37|AddA-31|RmA-13|AddA-32_AddA-13|AddA-64_AddA-62|RmA-16|RmA-16_RmA-13|ChB-916|AddA-60_AddA-64|RmA-13|RmA-15_AddA-32|AddA-31,0.0,0.0,CNCC(=O)Oc1cc(F)c(C)cc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-34|ChB-916|RmA-13_AddA-35|RmA-13_AddA-52|AddA-58|AddA-27|AddA-35|AddA-13_RmA-15|RmA-14|AddA-12|AddA-26|RmA-14_RmA-14,0.0,0.0,CCC(=O)Oc1c(O)cccc1C(=O)OC
CC(=O)Oc1ccccc1C(=O)O|AddA-52_AddA-35|AddA-36|AddA-56|RmA-14_AddA-31|AddA-27,0.0,0.0,CCOC(=O)c1c(C)cc(F)c(F)c1OC(C)=O
CC(=O)Oc1ccccc1C(=O)O|AddA-35_AddA-36|AddA-28,0.0,0.0,CC(=O)Oc1cc(C)c(F)c(C)c1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-13|RmA-14_AddA-28|AddA-33_RmA-13|AddA-13|ChB-885_ChB-213|AddA-62_AddA-64|AddA-54,0.0,0.0,CNCC(=O)Oc1c(C)cc(NO)cc1C(=O)OO
