step,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33
-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,2,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,3,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,11,0,0,19,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,5,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,14,0,0,22,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,5,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,16,0,0,23,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,5,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,21,0,0,24,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,5,0,0,0,0,0,1
10,0,0,0,0,0,0,0,0,23,0,0,26,0,0,0,0,0,0,0,2,0,0,6,0,8,0,0,6,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,26,0,0,27,0,0,0,0,0,0,0,3,0,0,6,0,9,0,0,6,0,0,0,0,0,2
12,0,0,0,0,0,0,0,0,27,0,0,28,0,0,0,0,0,0,0,3,0,0,7,0,10,0,0,6,0,0,0,0,0,2
13,0,0,0,0,0,0,0,0,33,0,0,31,0,0,0,0,0,0,0,3,0,0,7,0,12,0,0,6,0,0,0,0,0,2
14,0,0,0,0,0,0,0,0,34,0,0,31,0,0,0,0,0,0,0,3,0,0,7,0,17,0,0,7,0,0,0,0,0,2
15,0,0,0,0,0,0,0,0,37,0,0,32,0,0,0,0,0,0,0,3,0,0,8,0,19,0,0,7,0,0,0,0,0,2
16,0,0,0,0,0,0,0,0,40,0,0,35,0,0,0,0,0,0,0,3,0,0,8,0,22,0,0,8,0,0,0,0,0,2
17,0,0,0,0,0,0,0,0,45,0,0,37,0,0,0,0,0,0,0,3,0,0,8,0,27,0,0,8,0,0,0,0,0,2
18,0,0,0,0,0,0,0,0,48,0,0,39,0,0,0,0,0,0,0,4,0,0,8,0,30,0,0,9,0,0,0,0,0,2
19,0,0,0,0,0,0,0,0,51,0,0,41,0,0,0,0,0,0,0,4,0,0,9,0,31,0,0,10,0,0,0,0,0,2
20,0,0,0,0,0,0,0,0,54,0,0,41,0,0,0,0,0,0,0,4,0,0,11,0,34,0,0,11,0,0,0,0,0,2
21,0,0,0,0,0,0,0,0,57,0,0,44,0,0,0,0,0,0,0,5,0,0,11,0,34,0,0,12,0,0,0,0,0,2
22,0,0,0,0,0,0,0,0,59,0,0,46,0,0,0,0,0,0,0,5,0,0,12,0,35,0,0,12,0,0,0,0,0,2
23,0,0,0,0,0,0,0,0,64,0,0,47,0,0,0,0,0,0,0,6,0,0,12,0,38,0,0,12,0,0,0,0,0,2
24,0,0,0,0,0,0,0,0,67,0,0,47,0,0,0,0,0,0,0,6,0,0,13,0,38,0,0,12,0,0,0,0,0,2
25,0,0,0,0,0,0,0,0,72,0,0,47,0,0,0,0,0,0,0,6,0,0,13,0,40,0,0,13,0,0,0,0,0,2
26,0,0,0,0,0,0,0,0,77,0,0,48,0,0,0,0,0,0,0,6,0,0,15,0,41,0,0,13,0,0,0,0,0,2
27,0,0,0,0,0,0,0,0,84,0,0,49,0,0,0,0,0,0,0,6,0,0,15,0,43,0,0,13,0,0,0,0,0,2
28,0,0,0,0,0,0,0,0,86,0,0,53,0,0,0,0,0,0,0,6,0,0,15,0,45,0,0,13,0,0,0,0,0,2
29,0,0,0,0,0,0,0,0,87,0,0,55,0,0,0,0,0,0,0,6,0,0,15,0,46,0,0,13,0,0,0,0,0,2
30,0,0,0,0,0,0,0,0,90,0,0,57,0,0,0,0,0,0,0,6,0,0,15,0,47,0,0,13,0,0,0,0,0,2
31,0,0,0,0,0,0,0,0,93,0,0,59,0,0,0,0,0,0,0,6,0,0,15,0,48,0,0,13,0,0,0,0,0,2
32,0,0,0,0,0,0,0,0,98,0,0,61,0,0,0,0,0,0,0,7,0,0,15,0,48,0,0,13,0,0,0,0,0,3
33,0,0,0,0,0,0,0,0,103,0,0,64,0,0,0,0,0,0,0,7,0,0,15,0,53,0,0,14,0,0,0,0,0,3
34,0,0,0,0,0,0,0,0,108,0,0,65,0,0,0,0,0,0,0,7,0,0,16,0,54,0,0,14,0,0,0,0,0,3
35,0,0,0,0,0,0,0,0,111,0,0,66,0,0,0,0,0,0,0,7,0,0,16,0,55,0,0,14,0,0,0,0,0,3
