silly_walks_mean,silly_walks_med,silly_walks_min,silly_walks_max,silly_walks_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8785,10,1073.0690999031067,0,0,4,19,0,19,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8795,10,1074.195809841156,0,0,19,26,0,26,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8805,10,1075.9899394512177,0,0,33,46,0,46,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8815,10,1077.365688085556,0,0,31,30,0,30,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8825,10,1078.9333934783936,0,0,31,36,0,36,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8835,10,1080.5978498458862,0,0,26,50,0,50,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8845,10,1081.4141919612885,0,0,8,20,0,20,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8855,10,1082.9538977146149,0,0,30,39,0,39,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8865,10,1084.429205417633,0,0,29,36,0,36,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8875,10,1086.175843000412,0,0,35,41,0,41,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8885,10,1087.331793308258,0,0,21,25,0,25,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8895,10,1088.227625131607,0,0,7,20,0,20,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8905,10,1089.9937167167664,0,0,26,51,0,51,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8915,10,1091.216813325882,0,0,20,25,0,25,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8925,10,1092.5555276870728,0,0,28,32,0,32,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8935,10,1093.3779566287994,0,0,3,21,0,21,0,0
