step,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33
-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,9
2,0,0,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,6,0,0,0,1,1,12
3,0,0,0,0,0,0,0,0,11,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,6,0,0,0,1,1,17
4,0,0,0,0,1,0,0,0,12,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,7,0,0,0,1,1,17
5,0,0,0,0,1,0,0,0,20,0,0,33,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,9,0,0,1,1,1,18
6,0,0,0,0,1,0,0,0,30,0,0,37,0,0,0,0,0,0,0,0,0,0,9,0,16,0,0,14,0,0,1,1,1,19
7,0,0,0,0,1,0,0,0,35,0,0,41,0,0,0,0,0,0,0,0,0,0,9,0,21,0,0,14,0,0,1,1,1,23
8,0,0,0,0,1,0,0,0,41,0,0,44,0,0,0,0,0,0,0,0,0,0,10,0,23,0,0,15,0,0,1,1,1,25
9,0,0,0,0,1,0,0,0,52,0,0,46,0,0,0,0,0,0,0,0,0,0,10,0,24,0,0,16,0,0,1,1,1,26
10,0,0,0,0,1,0,0,0,56,0,0,50,0,0,0,0,0,0,0,2,0,0,10,0,24,0,0,17,0,0,1,1,1,26
11,0,0,0,0,1,0,0,0,63,0,0,61,0,0,0,0,0,0,0,4,0,0,11,0,31,0,0,17,0,0,1,1,1,29
12,0,0,0,0,1,0,0,0,66,0,0,63,0,0,0,0,0,0,0,5,0,0,14,0,34,0,0,17,0,0,1,1,1,30
13,0,0,0,0,1,0,0,0,78,0,0,67,0,0,0,0,0,0,0,5,0,0,14,0,37,0,0,18,0,0,1,1,1,31
14,0,0,0,0,1,0,0,0,80,0,0,67,0,0,0,0,0,0,0,5,0,0,14,0,43,0,0,19,0,0,1,1,1,33
15,0,0,0,0,1,0,0,0,84,0,0,72,0,0,0,0,0,0,0,5,0,0,16,0,45,0,0,19,0,0,1,1,1,35
16,0,0,0,0,1,0,0,0,90,0,0,75,0,0,0,0,0,0,0,5,0,0,16,0,50,0,0,21,0,0,1,1,1,36
17,0,0,0,0,1,0,0,0,99,0,0,79,0,0,0,0,0,0,0,5,0,0,16,0,56,0,0,23,0,0,1,1,1,36
18,0,0,0,0,1,0,0,0,103,0,0,82,0,0,0,0,0,0,0,6,0,0,16,0,60,0,0,24,0,0,1,1,1,38
19,0,0,0,0,1,0,0,0,112,0,1,88,0,0,0,0,0,0,0,6,0,0,18,0,63,0,0,27,0,0,1,1,1,40
20,0,0,0,0,1,0,0,0,120,0,1,89,0,0,0,0,0,0,0,6,0,0,20,0,69,0,0,31,0,0,1,1,1,40
