history_data,total,silly_walks,smiles
CC(=O)Oc1ccccc1C(=O)O|AddA-27|AddA-31|RmA-13|AddA-33|RmA-13|AddA-13|AddA-56|AddA-60|AddA-56|AddA-72|AddA-60|AddA-77,0.0,0.0,CN(C)CC(=O)Oc1ccc(N(C)CCN)cc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-27|AddA-13|AddA-52|RmA-13|AddA-36|AddA-12|RmA-13|RmA-13,0.0,0.0,CCC(=O)Oc1cccc(C)c1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-27|AddA-13|AddA-52|RmA-13|AddA-36|ChB-1130|AddA-30|RmA-13,0.0,0.0,CC(=O)Oc1cc(O)cc2c1C(=O)OCC2
CC(=O)Oc1ccccc1C(=O)O|AddA-32|AddA-30|AddA-54|AddA-56|AddA-12,0.0,0.0,CCC(=O)Oc1cc(O)c(CC)cc1C(=O)OO
CC(=O)Oc1ccccc1C(=O)O|AddA-24|AddA-35|RmA-13|AddA-14|AddA-24|AddA-52|AddA-65|RmA-16,0.0,0.0,NCc1cc(F)cc(C(=O)O)c1OC(=O)CO
CC(=O)Oc1ccccc1C(=O)O|AddA-27|AddA-31|AddA-32|RmA-13|AddA-63|RmA-13|AddA-54|AddA-13|RmA-14,0.0,0.0,Cc1ccc(OC(=O)CN)c(C(=O)OO)c1
CC(=O)Oc1ccccc1C(=O)O|AddA-26|AddA-35|AddA-56|AddA-31|RmA-15|RmA-13|AddA-27|RmA-14|AddA-38|RmA-13|AddA-12,0.0,0.0,CCC(=O)Oc1c(F)ccc(O)c1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-27|AddA-31|AddA-32|RmA-13|AddA-52|AddA-64|ChB-978|RmA-13|RmA-13,0.0,0.0,CC(=O)Oc1cccc2c1C(=O)OCC2
CC(=O)Oc1ccccc1C(=O)O|AddA-24|AddA-35|RmA-13|AddA-14|AddA-24|AddA-52|AddA-64|AddA-73,0.0,0.0,COC(=O)c1cc(F)cc(CCN)c1OC(=O)CO
CC(=O)Oc1ccccc1C(=O)O|AddA-27|AddA-31|AddA-32|RmA-13|AddA-63|RmA-13|AddA-54|RmA-14|AddA-27,0.0,0.0,CC(=O)Oc1c(F)cc(C)cc1C(=O)OO
CC(=O)Oc1ccccc1C(=O)O|AddA-27|AddA-53|RmA-13|AddA-29|RmA-13|AddA-38|AddA-56|RmA-14|AddA-54|RmA-14|AddA-12|ChB-1491,0.0,0.0,C=CC(=O)Oc1cc(N)ccc1C(=O)OO
