smiles,n_success_mut,n_failures_mut,silly_walks,total,obj_computation_time,history_data
CC(=O)Oc1ccccc1C(=O)O,21,979,0.0,0.0,0.0005333423614501953,CC(=O)Oc1ccccc1C(=O)O
CC(=O)Oc1cccc(F)c1C(=O)O,4,0,0.0,0.0,0.0005395412445068359,CC(=O)Oc1ccccc1C(=O)O|AddA-39
CC(=O)Oc1cc(F)ccc1C(=O)O,3,0,0.0,0.0,0.0005383491516113281,CC(=O)Oc1ccccc1C(=O)O|AddA-31
O=C(CO)Oc1cccc(F)c1C(=O)O,3,0,0.0,0.0,0.0005671977996826172,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6
NCC(=O)Oc1ccccc1C(=O)O,2,0,0.0,0.0,0.0005347728729248047,CC(=O)Oc1ccccc1C(=O)O|AddA-5
CCC(=O)Oc1cccc(F)c1C(=O)O,2,0,0.0,0.0,0.0005888938903808594,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-4
CC(=O)Oc1cc(F)c(O)cc1C(=O)O,2,0,0.0,0.0,0.0005903244018554688,CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-38
O=C(CO)Oc1cccc(F)c1CO,2,0,0.0,0.0,0.0005326271057128906,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6|RmA-13
CCOc1ccccc1C(=O)O,1,0,0.0,0.0,0.0004680156707763672,CC(=O)Oc1ccccc1C(=O)O|RmA-2
CC(=O)Oc1cc(F)cc(F)c1C(=O)O,1,0,0.0,0.0,0.0006091594696044922,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-31
CC(=O)Oc1cc(F)cc(O)c1C(=O)O,0,0,0.0,0.0,0.0005745887756347656,CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-42
O=C(O)c1c(F)cccc1OCCO,0,0,0.0,0.0,0.0005643367767333984,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6|RmA-0
CNCC(=O)Oc1ccccc1C(=O)O,0,0,0.0,0.0,0.0005598068237304688,CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-4
CCC(=O)Oc1cc(F)cc(F)c1C(=O)O,0,0,0.0,0.0,0.0006043910980224609,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-4|AddA-35
CC(=O)Oc1c(C(=O)O)cc(O)c(F)c1O,0,0,0.0,0.0,0.0005958080291748047,CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-38|AddA-26
OCCOc1cccc(F)c1CO,1,0,0.0,0.0,0.0005342960357666016,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6|RmA-13|RmA-0
CC(=O)Oc1ccc(F)cc1C(=O)O,1,0,0.0,0.0,0.0005817413330078125,CC(=O)Oc1ccccc1C(=O)O|AddA-35
CCOc1cccc(F)c1C(=O)O,1,0,0.0,0.0,0.0005600452423095703,CC(=O)Oc1ccccc1C(=O)O|AddA-39|RmA-2
O=C(CO)Oc1cc(F)ccc1C(=O)O,1,0,0.0,0.0,0.0005617141723632812,CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-6
Nc1cc(F)c(C(=O)O)c(OC(=O)CO)c1,2,0,0.0,0.0,0.0006127357482910156,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6|AddA-33
NCC(=O)Oc1c(O)cccc1C(=O)O,2,0,0.0,0.0,0.0006175041198730469,CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30
NCCC(=O)Oc1cccc(F)c1C(=O)O,2,0,0.0,0.0,0.0005884170532226562,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-4|AddA-5
NCC(=O)Oc1cc(F)c(O)cc1C(=O)O,2,0,0.0,0.0,0.0005929470062255859,CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-38|AddA-5
CC(=O)Oc1cccc(F)c1CO,2,0,0.0,0.0,0.0004956722259521484,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6|RmA-13|RmA-3
CCOc1cc(C)ccc1C(=O)O,1,0,0.0,0.0,0.0009615421295166016,CC(=O)Oc1ccccc1C(=O)O|RmA-2|AddA-24
NCC(=O)Oc1cc(F)cc(F)c1C(=O)O,2,0,0.0,0.0,0.0005853176116943359,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-31|AddA-5
CC(=O)Oc1ccc(C)cc1C(=O)O,2,0,0.0,0.0,0.0005261898040771484,CC(=O)Oc1ccccc1C(=O)O|AddA-32
CC(=O)Oc1cccc(F)c1C,1,0,0.0,0.0,0.00047206878662109375,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6|RmA-13|RmA-3|RmA-12
NCC(=O)Oc1cc(F)c(O)cc1C=O,2,0,0.0,0.0,0.0005586147308349609,CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-38|AddA-5|RmA-15
Cc1cc(F)c(C(=O)O)c(OC(=O)CCN)c1,1,0,0.0,0.0,0.0006253719329833984,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-4|AddA-5|AddA-36
NCC(=O)Oc1c(O)cc(F)cc1C(=O)O,2,0,0.0,0.0,0.0006036758422851562,CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-43
CNc1cc(F)c(C(=O)O)c(OC(=O)CO)c1,2,0,0.0,0.0,0.0006268024444580078,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6|AddA-33|AddA-4
O=C(O)c1ccc(F)cc1OCCO,2,0,0.0,0.0,0.0005242824554443359,CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-6|RmA-0
CC(N)Oc1cccc(F)c1C(=O)O,2,0,0.0,0.0,0.0005269050598144531,CC(=O)Oc1ccccc1C(=O)O|AddA-39|RmA-2|AddA-9
CC(=O)Oc1c(O)cc(F)cc1C(=O)O,1,0,0.0,0.0,0.0008478164672851562,CC(=O)Oc1ccccc1C(=O)O|AddA-35|AddA-26
CCOc1cccc(F)c1CO,2,0,0.0,0.0,0.0004627704620361328,CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6|RmA-13|RmA-0|RmA-0
CC(=O)Oc1cc(C)ccc1C(=O)O,2,0,0.0,0.0,0.00052642822265625,CC(=O)Oc1ccccc1C(=O)O|AddA-28
