history_data,total,silly_walks,smiles
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-43|AddA-4|AddA-4|AddA-6|RmA-0|AddA-12|RmA-7|AddA-4|AddA-68,0.0,0.0,CCOC(=O)c1cccc(O)c1OCCNC(C)CO
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6|AddA-33|AddA-4|RmA-13|AddA-60|AddA-64|RmA-13|AddA-51|AddA-72|AddA-5|AddA-4,0.0,0.0,CCNc1cc(OCCOCCN)c(C(=O)OC)cc1F
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-43|AddA-64|AddA-68|AddA-36|AddA-58|AddA-4|AddA-84|AddA-4|AddA-6,0.0,0.0,CCOC(=O)c1c(O)c(F)cc(OC)c1OC(=O)CNCCCO
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-4|AddA-5|AddA-36|RmA-7|AddA-56|RmA-4|AddA-28|AddA-23|RmA-13|AddA-38|AddA-30,0.0,0.0,COCc1c(OCCC(C)N)cc(CO)c(O)c1F
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-31|AddA-5|RmA-15|RmA-0|RmA-13|AddA-54|AddA-4|AddA-9|RmA-9|AddA-6,0.0,0.0,NC(CO)C(=O)Oc1cccc(F)c1CO
CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-38|AddA-5|RmA-15|AddA-4|AddA-4|AddA-6|ChB-1878|AddA-68|RmA-13|AddA-4|AddA-5,0.0,0.0,NCCC(=O)c1cc(O)c(F)cc1OCCNCC=O
CC(=O)Oc1ccccc1C(=O)O|AddA-32|AddA-38|AddA-27|RmA-2|AddA-4|RmA-15|RmA-6|AddA-30|AddA-10,0.0,0.0,CC(O)COc1cc(O)c(CO)cc1C=O
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-4|AddA-5|AddA-36|RmA-7|AddA-56|RmA-4|AddA-28|AddA-23|RmA-13|AddA-66|AddA-72,0.0,0.0,COCc1c(F)cc(C)cc1OCCC(N)COC
CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-38|AddA-5|RmA-15|AddA-4|AddA-4|AddA-6|ChB-1878|AddA-68|RmA-13|RmA-17|RmA-16,0.0,0.0,CCNCCOc1cc(F)c(O)cc1CC
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-42|AddA-46|AddA-68|AddA-72|AddA-76|AddA-54|AddA-4|AddA-10,0.0,0.0,CNCC(=O)Oc1c(OO)cc(OO)cc1C(=O)OCC(C)O
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-43|AddA-4|AddA-4|AddA-6|RmA-0|AddA-12|RmA-7|AddA-4|AddA-35,0.0,0.0,CCOC(=O)c1cc(F)cc(O)c1OCCNCCO
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6|AddA-33|AddA-4|RmA-13|AddA-60|AddA-64|RmA-13|AddA-51|AddA-72|AddA-5|ChB-2434,0.0,0.0,CNc1cc(OCCOCC#N)c(C(=O)OC)cc1F
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-43|AddA-64|AddA-68|AddA-36|AddA-58|AddA-4|AddA-84|AddA-4|AddA-48,0.0,0.0,CCCNCC(=O)Oc1c(OCC)cc(F)c(O)c1C(=O)OCC
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-4|AddA-5|AddA-36|RmA-7|AddA-56|RmA-4|AddA-28|AddA-23|RmA-13|AddA-38|AddA-62,0.0,0.0,COCc1c(F)cc(CO)cc1OCC(O)C(C)N
CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-38|AddA-5|RmA-15|AddA-4|AddA-4|AddA-6|ChB-1878|AddA-68|RmA-13|AddA-4|AddA-9,0.0,0.0,CC(N)C(=O)c1cc(O)c(F)cc1OCCNCC=O
CC(=O)Oc1ccccc1C(=O)O|AddA-32|AddA-38|AddA-27|RmA-2|AddA-4|RmA-15|RmA-6|AddA-30|AddA-6,0.0,0.0,O=Cc1cc(CO)c(O)cc1OCCCO
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-4|AddA-5|AddA-36|RmA-7|AddA-56|RmA-4|AddA-28|AddA-23|RmA-13|AddA-66|RmA-5,0.0,0.0,COCc1ccc(C)cc1OCCC(N)CO
CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-38|AddA-5|RmA-15|AddA-4|AddA-4|AddA-6|ChB-1878|AddA-68|RmA-13|RmA-17|RmA-11,0.0,0.0,CCNCCOc1cc(F)ccc1C(C)=O
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-42|AddA-46|AddA-68|AddA-72|AddA-76|AddA-54|AddA-4|AddA-88,0.0,0.0,CCCOC(=O)c1cc(OO)cc(OO)c1OC(=O)CNCC
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-43|AddA-4|AddA-4|AddA-6|RmA-0|AddA-12|RmA-7|AddA-4|RmA-18,0.0,0.0,CCNCCOc1c(O)cccc1C(=O)OCC
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6|AddA-33|AddA-4|RmA-13|AddA-60|AddA-64|RmA-13|AddA-51|AddA-72|AddA-5|RmA-14,0.0,0.0,CNc1cc(OCCOCCN)c(COC)cc1F
