smiles,n_success_mut,n_failures_mut,silly_walks,total,obj_computation_time,history_data
CC(=O)Oc1ccccc1C(=O)O,15,985,0.0,0.0,0.0005183219909667969,CC(=O)Oc1ccccc1C(=O)O||
CCC(=O)Oc1ccccc1C(=O)O,4,0,0.0,0.0,0.0005335807800292969,CC(=O)Oc1ccccc1C(=O)O|AddA-4
CC(=O)Oc1c(O)cccc1C(=O)O,3,0,0.0,0.0,0.0005476474761962891,CC(=O)Oc1ccccc1C(=O)O|AddA-26
CCC(=O)Oc1c(O)cccc1C(=O)O,3,0,0.0,0.0,0.0005645751953125,CC(=O)Oc1ccccc1C(=O)O|AddA-4|AddA-30
CC(=O)Oc1ccc(O)cc1C(=O)O,2,0,0.0,0.0,0.0005345344543457031,CC(=O)Oc1ccccc1C(=O)O|AddA-34
CCC(=O)Oc1cccc(O)c1C(=O)O,2,0,0.0,0.0,0.0005717277526855469,CC(=O)Oc1ccccc1C(=O)O|AddA-4|AddA-42
CC(=O)Oc1c(C(=O)O)ccc(O)c1O,2,0,0.0,0.0,0.0005671977996826172,CC(=O)Oc1ccccc1C(=O)O|AddA-26|AddA-34
CCC(=O)Oc1c(C(=O)O)ccc(C)c1O,2,0,0.0,0.0,0.0006194114685058594,CC(=O)Oc1ccccc1C(=O)O|AddA-4|AddA-30|AddA-36
CC(=O)Oc1cc(C)ccc1C(=O)O,1,0,0.0,0.0,0.0005338191986083984,CC(=O)Oc1ccccc1C(=O)O|AddA-28
CCC(=O)Oc1ccc(O)cc1C(=O)O,1,0,0.0,0.0,0.0006246566772460938,CC(=O)Oc1ccccc1C(=O)O|AddA-4|AddA-38
COC(=O)c1cccc(O)c1OC(C)=O,0,0,0.0,0.0,0.0005674362182617188,CC(=O)Oc1ccccc1C(=O)O|AddA-26|AddA-56
CCC(=O)Oc1c(O)cccc1C(=O)OO,0,0,0.0,0.0,0.0006010532379150391,CC(=O)Oc1ccccc1C(=O)O|AddA-4|AddA-30|AddA-62
