history_data,total,silly_walks,smiles
CC(=O)Oc1ccccc1C(=O)O|AddA-36|AddA-40|AddA-42|AddA-22|AddA-4|ChB-1784|RmA-11|RmA-16,0.0,0.0,CCCc1cc(O)cc(OCC=O)c1C=O
CC(=O)Oc1ccccc1C(=O)O|AddA-4|AddA-36|AddA-6|AddA-18|RmA-11|AddA-32|AddA-38|AddA-6,0.0,0.0,Cc1cc(OCO)c(OC(=O)CCO)c(C(=O)O)c1
CC(=O)Oc1ccccc1C(=O)O|AddA-4|AddA-36|AddA-6|AddA-18|RmA-11|AddA-64|AddA-4|AddA-50,0.0,0.0,CCCC(=O)Oc1c(O)cc(CO)cc1C(=O)OC
CC(=O)Oc1ccccc1C(=O)O|AddA-24|AddA-30|RmA-2|AddA-36|AddA-4,0.0,0.0,CCCOc1c(CO)cc(C)cc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-34|AddA-6|AddA-28|AddA-22|ChB-1856|AddA-4|RmA-17|AddA-50,0.0,0.0,CCc1cc(OO)cc(C(=O)OO)c1OC(C)=O
CC(=O)Oc1ccccc1C(=O)O|AddA-4|AddA-30|AddA-32|AddA-42|AddA-6|AddA-28|AddA-22|RmA-16|AddA-72,0.0,0.0,COc1c(OO)cc(C)c(C(=O)O)c1OCCC(C)O
CC(=O)Oc1ccccc1C(=O)O|AddA-26|AddA-32|AddA-60|AddA-20|AddA-36|AddA-4|AddA-4|AddA-50|ChB-1406|AddA-84|AddA-28,0.0,0.0,C=CCCc1cc(C)c(C(=O)OCO)c(OC(C)=O)c1OCC
CC(=O)Oc1ccccc1C(=O)O|AddA-4|AddA-30|AddA-32|AddA-42|AddA-56|AddA-44|AddA-60|AddA-54|AddA-4,0.0,0.0,CCCC(=O)Oc1c(OC)c(OC)c(O)c(CC)c1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-34|AddA-6|AddA-28|AddA-22|ChB-1856|AddA-4|RmA-10|AddA-4,0.0,0.0,CCCc1cc(OO)cc(CO)c1OC(=O)C=O
CC(=O)Oc1ccccc1C(=O)O|AddA-4|AddA-30|AddA-32|AddA-42|AddA-6|AddA-28|AddA-22|AddA-80|AddA-12,0.0,0.0,COc1c(OO)cc(C)c(C(=O)O)c1OC(=O)CC(C)OC
