step,SMILES,obj_calls,obj_value,improver,success_obj_computation,obj_computation_time,silly_walks
-1,CC(=O)Oc1ccccc1C(=O)O,0,0.0,,True,0.0005183219909667969,0.0
0,CCC(=O)Oc1ccccc1C(=O)O,1,0.0,True,True,0.0005335807800292969,0.0
1,CC(=O)Oc1c(O)cccc1C(=O)O,2,0.0,True,True,0.0005476474761962891,0.0
1,CCC(=O)Oc1c(O)cccc1C(=O)O,3,0.0,True,True,0.0005645751953125,0.0
2,CC(=O)Oc1ccc(O)cc1C(=O)O,4,0.0,True,True,0.0005345344543457031,0.0
2,CCC(=O)Oc1cccc(O)c1C(=O)O,5,0.0,True,True,0.0005717277526855469,0.0
2,CC(=O)Oc1c(C(=O)O)ccc(O)c1O,6,0.0,True,True,0.0005671977996826172,0.0
2,CCC(=O)Oc1c(C(=O)O)ccc(C)c1O,7,0.0,True,True,0.0006194114685058594,0.0
3,CC(=O)Oc1cc(C)ccc1C(=O)O,8,0.0,True,True,0.0005338191986083984,0.0
3,CCC(=O)Oc1ccc(O)cc1C(=O)O,9,0.0,True,True,0.0006246566772460938,0.0
3,COC(=O)c1cccc(O)c1OC(C)=O,10,0.0,True,True,0.0005674362182617188,0.0
3,CCC(=O)Oc1c(O)cccc1C(=O)OO,11,0.0,True,True,0.0006010532379150391,0.0
3,CC(=O)Oc1ccc(O)cc1C(=O)OO,12,0.0,True,True,0.0005645751953125,0.0
3,CCC(=O)Oc1cc(O)cc(O)c1C(=O)O,13,0.0,True,True,0.0005917549133300781,0.0
3,COc1ccc(C(=O)O)c(OC(C)=O)c1O,14,0.0,True,True,0.0005915164947509766,0.0
3,CCC(=O)Oc1c(C(=O)O)ccc(C)c1OC,15,0.0,True,True,0.0006239414215087891,0.0
4,CC(=O)Oc1ccccc1C(=O)OO,16,0.0,True,True,0.0005259513854980469,0.0
4,CCC(=O)Oc1ccc(C)cc1C(=O)O,17,0.0,True,True,0.0005590915679931641,0.0
4,CC(=O)Oc1c(C(=O)O)ccc(C)c1O,18,0.0,True,True,0.0005626678466796875,0.0
4,CCC(=O)Oc1c(OC)cccc1C(=O)O,19,0.0,True,True,0.0005829334259033203,0.0
4,O=C(CO)Oc1ccc(O)cc1C(=O)O,20,0.0,True,True,0.0005648136138916016,0.0
4,CCCC(=O)Oc1cccc(O)c1C(=O)O,21,0.0,True,True,0.0005927085876464844,0.0
4,COc1c(O)ccc(C(=O)O)c1OC(C)=O,22,0.0,True,True,0.0005960464477539062,0.0
4,C=CC(=O)Oc1c(C(=O)O)ccc(C)c1O,23,0.0,True,True,0.0005967617034912109,0.0
4,CCOc1cc(C)ccc1C(=O)O,24,0.0,True,True,0.0004944801330566406,0.0
4,CCCOc1ccc(O)cc1C(=O)O,25,0.0,True,True,0.0005190372467041016,0.0
5,CC(=O)Oc1cccc(O)c1C(=O)O,26,0.0,True,True,0.0005357265472412109,0.0
5,C=CCOc1c(C(=O)O)ccc(C)c1O,27,0.0,True,True,0.0005581378936767578,0.0
5,COc1c(O)ccc(C(=O)OO)c1OC(C)=O,28,0.0,True,True,0.0006234645843505859,0.0
5,CCCC(=O)Oc1c(C)ccc(O)c1C(=O)O,29,0.0,True,True,0.0006213188171386719,0.0
5,Cc1cc(O)cc(C(=O)O)c1OC(=O)CO,30,0.0,True,True,0.0005853176116943359,0.0
5,CCC(=O)Oc1c(C(=O)O)ccc(O)c1OC,31,0.0,True,True,0.0006258487701416016,0.0
5,COc1c(C)ccc(C(=O)O)c1OC(C)=O,32,0.0,True,True,0.0005862712860107422,0.0
5,Cc1ccc(OC(=O)CCO)c(C(=O)O)c1,33,0.0,True,True,0.0005896091461181641,0.0
5,O=C(CO)Oc1ccccc1C(=O)OO,34,0.0,True,True,0.0005733966827392578,0.0
5,CCCOc1c(C(=O)O)ccc(C)c1OC,35,0.0,True,True,0.0005869865417480469,0.0
6,CC(=O)Oc1cccc(C)c1C(=O)O,36,0.0,True,True,0.0005273818969726562,0.0
6,O=C(CO)Oc1cc(O)c(O)cc1C(=O)O,37,0.0,True,True,0.0005953311920166016,0.0
6,CCCC(=O)Oc1cccc(O)c1C(=O)OC,38,0.0,True,True,0.0006220340728759766,0.0
6,COc1c(O)cc(C)c(C(=O)O)c1OC(C)=O,39,0.0,True,True,0.0006306171417236328,0.0
6,C=CC(=O)Oc1c(C(=O)OC)ccc(C)c1O,40,0.0,True,True,0.0006299018859863281,0.0
6,CCOc1c(C(=O)O)ccc(C)c1O,41,0.0,True,True,0.0005445480346679688,0.0
6,C=CCOc1ccc(O)cc1C(=O)O,42,0.0,True,True,0.0005269050598144531,0.0
6,COc1cccc(C(=O)O)c1OC(=O)CCN,43,0.0,True,True,0.0006153583526611328,0.0
6,O=C(CO)Oc1cccc(O)c1C(=O)O,44,0.0,True,True,0.0005612373352050781,0.0
6,COc1ccc(C(=O)OO)c(OC(C)=O)c1OC,45,0.0,True,True,0.0007011890411376953,0.0
7,CCOc1ccccc1C(=O)O,46,0.0,True,True,0.00045752525329589844,0.0
7,CCCOc1ccc(O)c(C)c1C(=O)O,47,0.0,True,True,0.0005574226379394531,0.0
7,CC(=O)Oc1cc(O)cc(O)c1C(=O)O,48,0.0,True,True,0.0005598068237304688,0.0
7,C=CCOc1c(C(=O)O)cc(C)c(C)c1O,49,0.0,True,True,0.0005939006805419922,0.0
7,COc1c(O)ccc(C(=O)OO)c1OC(=O)CO,50,0.0,True,True,0.0006606578826904297,0.0
7,CCCCC(=O)Oc1c(C)ccc(O)c1C(=O)O,51,0.0,True,True,0.0006611347198486328,0.0
7,COCC(=O)Oc1c(C)cc(O)cc1C(=O)O,52,0.0,True,True,0.0006797313690185547,0.0
7,CCC(=O)Oc1c(C(=O)O)ccc(OC)c1OC,53,0.0,True,True,0.000652313232421875,0.0
7,COc1c(C)cc(C)c(C(=O)O)c1OC(C)=O,54,0.0,True,True,0.0006237030029296875,0.0
7,Cc1cc(O)c(OC(=O)CCO)c(C(=O)O)c1,55,0.0,True,True,0.0006256103515625,0.0
8,CC(=O)Oc1c(C)cccc1C(=O)O,56,0.0,True,True,0.0005235671997070312,0.0
8,Cc1cc(OO)cc(C(=O)O)c1OC(=O)CO,57,0.0,True,True,0.0006244182586669922,0.0
8,COc1c(O)ccc(C(=O)O)c1OC(=O)CCO,58,0.0,True,True,0.0006594657897949219,0.0
8,CCc1ccc(C(=O)O)c(OC(C)=O)c1OC,59,0.0,True,True,0.0006206035614013672,0.0
8,O=C(CCO)Oc1ccc(CO)cc1C(=O)O,60,0.0,True,True,0.0006647109985351562,0.0
8,COCC(=O)Oc1ccccc1C(=O)OO,61,0.0,True,True,0.0005841255187988281,0.0
8,C#CCOc1c(C(=O)O)ccc(C)c1OC,62,0.0,True,True,0.0005855560302734375,0.0
8,CC(=O)Oc1c(C)ccc(C)c1C(=O)O,63,0.0,True,True,0.00055694580078125,0.0
8,O=C(CO)Oc1cc(OO)c(O)cc1C(=O)O,64,0.0,True,True,0.0006780624389648438,0.0
8,C=CCC(=O)Oc1cccc(O)c1C(=O)OC,65,0.0,True,True,0.0006844997406005859,0.0
9,O=C(CO)Oc1ccccc1C(=O)O,66,0.0,True,True,0.0005762577056884766,0.0
9,CCCOc1c(C(=O)OC)ccc(C)c1OC,67,0.0,True,True,0.0006721019744873047,0.0
9,CCc1cccc(OC(C)=O)c1C(=O)O,68,0.0,True,True,0.0005526542663574219,0.0
9,COc1cc(OC(=O)CO)c(C(=O)O)cc1O,69,0.0,True,True,0.0006203651428222656,0.0
9,COC(=O)c1c(O)cccc1OC(=O)C1=CC1,70,0.0,True,True,0.0006623268127441406,0.0
9,COc1c(OO)cc(C)c(C(=O)O)c1OC(C)=O,71,0.0,True,True,0.0006535053253173828,0.0
9,C=CC(=O)Oc1c(C(=O)OCC)ccc(C)c1O,72,0.0,True,True,0.0006525516510009766,0.0
9,CCOc1c(C(=O)O)cc(C)c(C)c1O,73,0.0,True,True,0.0005581378936767578,0.0
9,C=CCOc1cc(O)c(O)cc1C(=O)O,74,0.0,True,True,0.0005609989166259766,0.0
9,COc1cccc(C=O)c1OC(=O)CCN,75,0.0,True,True,0.0005893707275390625,0.0
10,CC(=O)Oc1ccccc1CO,76,0.0,True,True,0.00046825408935546875,0.0
10,CCC(=O)Oc1c(OC)c(C)cc(C)c1C(=O)O,77,0.0,True,True,0.0006737709045410156,0.0
10,CCC(=O)Oc1c(C=O)ccc(OC)c1OC,78,0.0,True,True,0.00061798095703125,0.0
10,COCC(=O)Oc1c(C)cc(O)c(O)c1C(=O)O,79,0.0,True,True,0.0006520748138427734,0.0
10,Cc1ccc(O)c(C(=O)O)c1OC(=O)CCC(C)O,80,0.0,True,True,0.0006842613220214844,0.0
10,COc1c(O)ccc(C(=O)OO)c1OC(=O)C=O,81,0.0,True,True,0.0006527900695800781,0.0
10,C=CCOc1c(C(=O)O)cc(C)c(CO)c1O,82,0.0,True,True,0.0006272792816162109,0.0
10,CC(=O)Oc1cc(O)ccc1C(=O)O,83,0.0,True,True,0.0005216598510742188,0.0
10,C#CCOc1ccc(O)c(C)c1C(=O)O,84,0.0,True,True,0.0005512237548828125,0.0
10,CCOc1ccccc1C(=O)OO,85,0.0,True,True,0.0004851818084716797,0.0
11,CC(=O)Oc1ccccc1C=O,86,0.0,True,True,0.00046324729919433594,0.0
11,COCC(=O)Oc1c(O)cccc1C(=O)OO,87,0.0,True,True,0.0006701946258544922,0.0
11,Cc1c(CO)ccc(OC(=O)CCO)c1C(=O)O,88,0.0,True,True,0.0006520748138427734,0.0
11,CCc1ccc(C(=O)OC)c(OC(C)=O)c1OC,89,0.0,True,True,0.000659942626953125,0.0
11,COc1c(O)cc(C)c(C(=O)O)c1OC(=O)CCO,90,0.0,True,True,0.0007398128509521484,0.0
11,Cc1cc(OO)cc(C(=O)O)c1OC(=O)C=O,91,0.0,True,True,0.0006253719329833984,0.0
11,CC(=O)Oc1c(CO)cccc1C(=O)O,92,0.0,True,True,0.0005567073822021484,0.0
11,CCC(=O)Oc1c(O)cc(C)cc1C(=O)O,93,0.0,True,True,0.0005786418914794922,0.0
11,CCc1cc(C)c(OC)c(OC(C)=O)c1C(=O)O,94,0.0,True,True,0.0006480216979980469,0.0
11,CCC(=O)Oc1c(OC)c(OC)cc(C)c1C(=O)O,95,0.0,True,True,0.0006937980651855469,0.0
12,NCC(=O)Oc1ccccc1C(=O)O,96,0.0,True,True,0.0005524158477783203,0.0
12,COc1c(O)cc(C(=O)O)c(OC(=O)CO)c1C,97,0.0,True,True,0.0006544589996337891,0.0
12,CCc1cccc(OC(C)=O)c1C(=O)OC,98,0.0,True,True,0.0005850791931152344,0.0
12,CCCOc1c(C(=O)OC)cc(C)c(C)c1OC,99,0.0,True,True,0.0006518363952636719,0.0
12,Cc1ccc(OC(=O)CO)c(C(=O)O)c1,100,0.0,True,True,0.0005495548248291016,0.0
12,C=CCC(=O)Oc1cccc(O)c1C(=O)OCC,101,0.0,True,True,0.0006518363952636719,0.0
